sentence_id,span_start,span_end,span_tokens,category,failure_mode,notes,context
3516,9,9,educadores,ortografia_lexical,,,"Esse conflito é vivenciado também no ambiente escolar , educadores pois educadores e alunos parece parecem não se entenderem , uma vez que os jovens , influenciados pelas divergências familiares , adotam atitudes passivas quanto aos estudos ."
3383,18,18,inibindo,ortografia_lexical,,,"Têm seu psicológico afetado por traumas e entram em depressão devido o ao estresse causado pelas práticas , inibindo que inibe a produção do hormônio serotonina serotonina , responsável pela sensação de felicidade ."
3599,6,6,é,ortografia_acento,,,Outro aspecto relevante a se considerar é o crescente número de instituições que antes só utilizavam formas tradicionais de ensino e que passaram a oferecer cursos à distância .
1522,10,12,"mas , sempre",sintatico_discursivo,,,"Aos mais íntimos era permitido um beijo no rosto , mas , sempre mas sempre longe dos olhos de desconhecidos ."
2908,13,13,simplifica-los,ortografia_lexical,,,"É fato que muitos jovens não têm interesse por clássicos , no entanto simplifica-los simplificá-los não seria a solução ."
1821,1,1,e,sintatico_discursivo,,,A e e a Europa .
473,12,13,ou terem,ortografia_lexical,,,"Há quem se sinta confortável em casar-se virgem , por acharem certo ou terem raízes conservadoras ."
3099,19,20,má projetada,ortografia_lexical,,,"Consequência disso são as inúmeras queixas da população que utiliza as vias ruins , cheia cheias de buracos e má projetada mal projetadas , dificultando a harmonia de dirigi pelas as cidades ."
3238,24,24,proporcionam,concordancia_verbal,,,"Por certo , os pais devem ensinar aos mais novos que os mais velhos devem ser respeitados e que a vivência em épocas diferentes proporcionam proporciona conhecimentos diferentes ."
3458,7,13,"o suficiente , a ponto de cometerem",sintatico_discursivo,,,"Se muitos jovens tem têm sido ousados o suficiente , a ponto de cometerem o suficiente para cometer delitos e até mesmo homicídios , então já estão aptos para responderem a responder por tais crimes , pois e não devem ser tratados como meros adolescentes que não tem têm o mínimo discernimento de seus atos ."
2416,1,1,disso,ortografia_lexical,,,"Além disso disso , se não houvesse esse cruzamento desses produtos produtos , seria muito ruim para os Países países que tem têm uma grande quantidade quantidade , talvez até a maioria dos produtos transgênicos comercializados comercializados , porque não haveria como produzir essa quantidade necessária para o comercio comércio ."
3193,7,7,onde,ortografia_lexical,,,"Este fator aniquila a política brasileira , onde fazendo com que os brasileiros votam , votem só por votar ."
2267,10,10,o,ortografia_lexical,,,"Recentemente , foi divulgada uma pesquisa , de acordo com o a qual a obesidade infantil aumentou consideravelmente nos últimos 20 anos e hoje atinge 15% da população jovem ."
3484,9,9,observados,ortografia_lexical,,,"Infelizmente , numa proporção um pouco maior , temos observados observado também que nem sempre esse amor se manifesta , pelo contrário , os atos de agressão violenta física , abandono e descaso chocam a todos , a todo o momento ."
1668,26,26,à,crase_preposicao,,,"Já o Estado e a sociedade também têm suas obrigações , tanto no comprimento cumprimento rigoroso da lei na proibição de bebidas alcoólicas a menores quanto à na negação de valores que a bebida poderia trazer como : maior convívio social , agregação de responsabilidade ou de mulheres lindíssimas trazendo a cerveja gelada que envolve principalmente o público jovem masculino ."
2949,3,6,tantos desenvolvimentos e inovações,sintatico_discursivo,,,"Contudo , após tantos desenvolvimentos e inovações tanto desenvolvimento e inovações , o consumo já ultrapassa o indispensável , situação que caracteriza o consumismo ."
936,21,21,haveriam,ortografia_lexical,,,"Seria um trabalho social muito forte , no qual o qual mobilizaria a todos , mas que , com certeza , haveriam teria/produziria melhores resultados ."
1755,9,9,unica,ortografia_lexical,,,"A lei em nosso país não discrimina , é unica única para todos ."
1281,0,0,Ao,crase_preposicao,,,"Ao Com o passar dos anos , as discussões sobre a aids veem vêm perdendo destaque , o que pode ser se dever tanto pela à utilização de drogas que prolongam a vida dos doentes , quanto pelo ao distanciamento da juventude atual a em relação à preocupação de com a prevenção ."
1950,9,9,legalizada,sintatico_discursivo,,,"A eutanásia poderia ser útil no Brasil caso fosse legalizada legalizada , pois ajudaria a muitas pessoas que esperam com medo e ansiosas a sua hora de morrer ."
1415,7,7,visto,ortografia_lexical,,,"A intolerancia as intolerância às diferenças é visto vista como uma das principais causas da violençia violência nas escolas , infelizmente os jovens ainda não conhecem o valor do respeito e não compreendem que conviver com as diferenças é necessário para o bom funcionamento das relacoes sociais , desrespeitar relações sociais ."
611,49,49,esta,ortografia_lexical,,,"Com o passar do tempo , é inegável a tendência de que o individuo acumule experiência de vida , e com isso tenha uma maturidade maior para procurar decisões acertadas para suas escolhas , levando em consideração aquilo que já tenham vivenciado , ficaria claro que seria irrefutável que esta essa pessoa quanto mais velha , melhor se tornaria nas questões de relacionamento inter-pessoais interpessoais sobre tudo sobretudo amorosas , ; mas não é o que acontece , pois existem fatores importantes que controlam a maturidade , entre elas eles a personalidade , intensidade , os traumas emocionais e etc etc ."
159,0,2,Como já sabemos,sintatico_discursivo,,,"Como já sabemos Como se sabe , o que define se a substância é um remédio ou veneno é apenas a dose ."
1508,12,12,no,ortografia_lexical,,,"Falamos de tempos modernos e globalização , e muitos ainda estão presos no ao passado , adquirem carregam ainda consigo a maneira contundente de educação que foram lhe o modelo de educação com que foram ensinados e ainda ainda o passam adiante para seus filhos ."
3838,1,1,quando,sintatico_discursivo,,,"Isso quando quando a pessoa que bebe não gera violência nas ruas , nas casas , nos bares e até mesmo em estádios de futebol ."
1956,7,7,faça,ortografia_acento,,,"É preciso que todos se conscientizem e faça façam a sua parte em vez de ficar procurando quem é o culpado , pois governo e população unidos trariam grandes resultados e resultados , evitariam grandes estragos e altos custos em ter que construir centenas de casas , reconstruírem cidades e muitas pessoas não perderiam seus familiares ."
3192,35,35,maioridade,sintatico_discursivo,,,"Como mostra pesquisa feita na cidade de São Paulo , nove a cada dez pessoas relataram à Data Folha à ao DataFolha a sua aprovação , ou seja , 90% dos entrevistados querem que a maioridade maioridade penal seja a partir dos 16 anos ."
3556,30,30,e,sintatico_discursivo,,,"Fazendo Isso faz com que a pessoa venha a ""congelar"" o profissional fique estagnado em determinado nível da carreira , o que vem a prejudicar muito a qualidade de vida e e a autoestima da pessoa ."
2472,35,35,comercializa-lo,ortografia_lexical,,,"Atualmente Atualmente , a engenharia genética proporciona desenvolve estudos voltado voltados para a modificação em alimentos alimentos , com o intuito de obter um produto mais resistente e , consequentemente , com melhores condições de comercializa-lo comercializá-lo em larga escala ."
673,43,43,somos,ortografia_lexical,,,"Ao sentar no sofá , para assistir sua assistir a sua novela depois de um dia cansativo de trabalho , no caso dos adultos , ou até mesmo quando se está assistindo aos seus desenhos animados preferidos , no caso das crianças , somos os telespectadores são bombardeados a toda hora pela mídia , nos incentivando incentivando-os a consumir ."
556,28,30,seu ícone Zunbi,sintatico_discursivo,,,"Por conta disso houve grandes rebeliões e fugas , esta o que resultou na formação , em alagoas Alagoas , do maior quilombo do Brasil , Palmares , seu ícone Zunbi cujo maior ícone foi Zumbi ."
583,5,7,"se , que",colocacao_pronominal,,,"A partir disso , evidencia- se , que -se que essa é uma experiência única ; única , tanto para os candidatos escolhidos , como também para toda humanidade ."
1412,3,5,cuja resposta aparenta,sintatico_discursivo,,,"São várias perguntas cuja resposta aparenta cujas respostas aparentam estar longe de soar com unanimidade e infelizmente a infelizmente , cada segundo dessa demora tem significado mais um segundo de uma tortura sem fim que já botou muitos a implorar pela morte em seus poucos momentos de sanidade ."
3421,0,0,Portanto,ortografia_lexical,,,"Portanto Portanto , deve haver uma distinção entre o direito de expressar opiniões e o ato de insultar ou ofender outra pessoa ."
1505,7,7,deve,ortografia_lexical,,,"Concluímos que para aqueles aqueles que bebem deve devem consumir o álcool com precaução e apesar de possuirmos uma cultura e mídia que nos induz induzem a beber , devemos ter o controle de nós mesmos e coragem de não aceitar uma bebida que nos é imposta e deixarmos de ser apenas um meio de lucro ."
267,5,9,tudo o que se passa,sintatico_discursivo,,,"Na cabeça de um terrorista tudo o que se passa tudo que passa é que por meio do mau mal , do caos e até mesmo da morte de inocentes , ele vai estar chamando atenção para seu desespero pessoal ."
2689,5,7,é constituído em,concordancia_verbal,,,"Segundo estatísticas 70% do planeta é constituído em são constituídos de água , sendo que 3% é são de água doce e 98% de água subterrânea , isso subterrânea ."
166,2,2,em,sintatico_discursivo,,,enquanto estivermos em em nossa condição humana ?
419,11,12,cidades sedes,ortografia_lexical,,,"Que nações , que poderão encontrar dificuldades de locomoção , para cidades sedes cidades-sede e pontos turísticos ."
2036,0,19,Assim como buscam soluções das mais diversas possíveis para tentar dar fim a algo que já é inerente na sociedade,concordancia_verbal,,,Assim como buscam soluções das mais diversas possíveis para tentar dar fim a algo que já é inerente na sociedade .
2172,17,17,afim,ortografia_lexical,,,"É preciso combater a violençia violência nas escolas e para isso pais e professores precisam se unir afim a fim de ajudar e orientar o jovem a respeitar o próximo , caso próximo ."
3002,0,2,"Contudo , a",colocacao_pronominal,,,"Contudo , a humanidade sempre irá movimentar essa pratica de mentir , seja diante da justiça ou partido social ."
3707,29,31,técnico e tem,concordancia_verbal,,,"Apesar dos de os golpes dos combates de MMA parecer agressivo , parecerem agressivos , antes das lutas os lutadores passam por um rígido treinamento físico , mental e técnico e tem técnico , além de uma preparação na parte nutricional , pois os lutadores tem têm que manter o peso de acordo com sua categoria ."
3609,12,12,como,ortografia_lexical,,,"Embora venha sendo sucessivamente adotado em várias grandes cidades brasileiras , mostra-se como uma medida de eficiência duvidosa que mais esconde que soluciona o problema dos jovens e as noites urbanas do Brasil ."
1819,13,13,de,ortografia_lexical,,,"Desta forma , precisamos de uma sociedade que pense no coletivo , que de dê valor as às reivindicações passadas , como no caso do voto direto , e principalmente que sejam sujeitos críticos e capazes de exercer a cidadania adequadamente ."
1970,23,23,execução,ortografia_acento,,,"Se a resposta for positiva , como é o caso dos alimentos transgênicos , deve-se sim deve-se , sim , garantir a sua execução utilização em nome do progresso ."
1402,12,12,candidato,sintatico_discursivo,,,"Deve-se criar uma regulamentação séria para igualar o horário disponível para cada candidato candidato , sem levar em consideração privilégios , como o citado a cima acima ."
3436,49,50,alo se,colocacao_pronominal,,,"Como é o caso de muitos animais de estimação que parecem mais palhaços fantasiados com suas unhas e seus pelos pintados , roupas coloridas e enfeites que incomodam , e tudo isso segundo seus donos em pool prol da beleza , mas sem sequer se preocupar se isso seria alo se algo de que o animal iria gostar ."
1622,10,11,vice miss,ortografia_lexical,,,"Dessa forma , para coibir eventuais casos como o da vice miss vice-miss bumbum , cabe ao governo tomar medidas eficazes que inibam esses acontecimentos , fiscalizando o comércio de produtos para cirurgias plásticas , a à mídia continuar exercendo sua função social não influenciando os receptores o público , a à escola estimular o pensamento crítico dos alunos , a à família educar os seus membros para que eles se tornem pessoas conscientes de seus atos , a à sociedade respeitar à diversidade e diante disso disso , quem sabe , uma escola de samba não leve para a avenida um samba enredo samba-enredo exaltando a beleza como ela é ."
1171,7,7,à,sintatico_discursivo,,,"É através desses sentimentos que somos impulsionados à a certas atitudes incontroláveis , como por exemplo a raiva , ódio , inveja , ciúmes que levam o ser humano a cometer vários deslizes comportamentais e até mesmo levando-os a cometer delitos criminais ocasionando várias conseqüência negativas e psicológicas , que no homem , o mais recriminado é o "" machismo "" que é um sentimento de superioridade masculina com que nos deparamos até hoje , ocasionando em provocando vários conflitos familiares e até mesmo nas escolas e nas ruas ."
372,36,36,Língua,ortografia_acento,,,"A ideia de união , vista positivamente , é oposta à estranheza causada pelas mudanças . No mundo globalizado vivido hoje , visando uma maior proximidade e facilidade de relacionamento entre os países que seguem a Língua Portuguesa , o acordo ortográfico , que prevê modificações como a não utilização do trema , parece ser favorável e trazer benefícios , permitindo uma maior proximidade na fala , beneficiando a comunicação ."
1007,19,19,destes,ortografia_lexical,,,"Mudanças na lei não devem ter como objetivo a redução da criminalidade , mas sim o destaque para punição destes desses menores envolvidos ."
3760,19,19,cuida-los,ortografia_lexical,,,"Provavelmente não , pois é mais cruel do que pegar animais que estão abandonados nas ruas passando necessidades e cuida-los cuidar deles , para que assim os testes funcionem ."
481,13,35,"e passarmos a enxergar a favela e as pessoas que nela habitam não com olhos meramente humanos , mas com uma visão igualitária",concordancia_nominal,,,"Se nos , cidadões brasileiros deixarmos as desigualdades e preconceitos sociais de lado e passarmos a enxergar a favela e as pessoas que nela habitam não com olhos meramente humanos , mas com uma visão igualitária , e o governo investir em educação , cultura e conscientização á essas entidades pobres , não somente em tropas de choque e caveirões , mas em respeito , o nosso Brasil da mais um passo para frente ."
2150,0,9,"Super-heróis que voam e possuem poderes , são personagens ,",concordancia_verbal,,,"Super-heróis que voam e possuem poderes , são personagens , não existem ."
53,5,5,melhores,ortografia_lexical,,,"Há aqueles que se sentem melhores mentindo , já que a realidade não é tão bonita quanto os sonhos ."
1243,3,3,ortográfico,ortografia_acento,,,"Assim , acordo ortográfico é o entendimento entre os países que falam a língua portuguesa , mas que não a escrevem de forma semelhante ."
372,40,40,acordo,ortografia_lexical,,,"A ideia de união , vista positivamente , é oposta à estranheza causada pelas mudanças . No mundo globalizado vivido hoje , visando uma maior proximidade e facilidade de relacionamento entre os países que seguem a Língua Portuguesa , o acordo ortográfico , que prevê modificações como a não utilização do trema , parece ser favorável e trazer benefícios , permitindo uma maior proximidade na fala , beneficiando a comunicação ."
699,36,36,afim,ortografia_lexical,,,"Por essa razão , para que não seja grande o número de boletim de ocorrências boletins de ocorrência em delegacias , o governo apostou no alto investimento a segurança , com policiais com treinamentos diversos , afim a fim de proteger a sociedade contra possíveis ataques ."
1249,67,67,destino,sintatico_discursivo,,,"Que com o voto irresponsável no palhaço Tiririca colocou no poder outros personagens não gratos de uma recente história de roubalheira no nosso país . ? Não cabe a mim aprovar ou desaprovar o voto das pessoas , pois todos tem têm livre arbítrio , mas o mesmo deve ser usado só quando quando o que está em jogo é apenas a nossa vida e o nosso destino destino , pois quando isso envolve outros tantos milhões de indivíduos desempregados , pais de família assalariados , jovens que não sabem o que fazer ao terminarem o ensino médio , mães que não conseguem ganhar a guerra contra traficantes e perdem em tão tenra idade filhos queridos ."
1454,45,45,Físico,sintatico_discursivo,,,"Trazendo ruas , trazendo , assim , menos poluição para a atmosfera , sabendo que uma vez que o carro emite gases poluentes por usar a gasolina como combustível e que a bicicleta que , para a bicicleta , é necessário apena apenas o esforço Físico físico de quem a conduz ."
2678,10,11,como parte,sintatico_discursivo,,,"É o momento que em que cada um se sente como parte parte daquela seleção e , como tal , nos sentimos vitoriosos e bem sucedidos ."
3674,21,24,o mesmo já transpôs,sintatico_discursivo,,,"Sendo assim , atos de violência física , psicológica ou ridicularização de um indivíduo não é são uma brincadeira , onde o mesmo já transpôs pois eles já transpuseram a barreira do que seria um ato saudável e livre de opressão ."
2588,3,3,esta,ortografia_lexical,,,"O que propicia esta essa situação certamente é o fácil acesso às mídias informativas , além do exemplo dos pais que exibem um comportamento consumista ."
3749,14,14,significativamente,ortografia_lexical,,,"O numero número , mas seria melhor "" índice "" de participação juvenil caiu significativamente , significativamente : em cinco anos houve redução de 19% ."
1468,23,26,"morre afogado , em",sintatico_discursivo,,,"Como exemplo , temos o caso noticiado no ano de 1999 , quando um aluno da USP ( Universidade de São Paulo ) morre afogado , em morreu afogado em uma piscina , após ingerir bebida alcoólica , motivado pelos velhos estudantes ."
1517,0,0,É,ortografia_lexical,,,É São cada vez mais frequente frequentes brigas entre os próprios motoristas e entre estes e os pedestres por situações banais que poderiam ser resolvidas no diálogo com um sincero pedido de desculpas .
1858,2,6,"necessita , sim , de",sintatico_discursivo,,,"O sistema necessita , sim , de uma reestruturação do alicerce da sociedade - a residência de cada um nós - através da conscientização do incentivo à leitura feita pelos pais , para não deixar somente na mão da escola o papel de formar cidadãos em nosso país ."
2868,27,27,continuará,ortografia_acento,,,"Assim , se não houve houver uma completa conscientização da sociedade e uma mudança radical de com trata como tratar o próximo com amor e respeito , continuará continuarão os estresses , brigas e mortes no trânsito do Brasil ."
654,10,10,à,crase_preposicao,,,"As pessoas que sofrem bullying tem têm uma certa tendência à a fazer o mesmo com outras , com outras ."
2170,39,39,escolher,ortografia_lexical,,,"Ser virgem ou não , não interfere na vida social de alguém , é algo visto sem mais preconceitos , o que faz com que seja reafirmado o livre arbítrio livre-arbítrio de cada um , a liberdade para poder escolher o que fazer da de sua vida ."
853,30,30,a,crase_preposicao,,,"Para evitar novas tragédias de acontecerem tragédias , é necessário o controle da ocupação desordenada , nas áreas de risco , a monitoria da previsão do tempo e o alerta a à população ."
2550,28,28,inrracional,ortografia_lexical,,,"Desse modo , ficou evidente a falta de respeito por parte de algumas pessoas que , por se acharem defensoras da maioria da população , tentam de forma inrracional irracional impor suas regras à sociedade ."
2818,12,12,acordo,ortografia_lexical,,,"Assim , para unificar a grafia , louvável a modificação proposta no acordo ortográfico ."
1454,13,14,sabendo que,ortografia_lexical,,,"Trazendo ruas , trazendo , assim , menos poluição para a atmosfera , sabendo que uma vez que o carro emite gases poluentes por usar a gasolina como combustível e que a bicicleta que , para a bicicleta , é necessário apena apenas o esforço Físico físico de quem a conduz ."
2980,2,2,à,sintatico_discursivo,,,"Em meio à a tantos problemas sociais , o que mais tem afetado a nossa população é a crise hídrica ."
737,11,11,ambos,ortografia_lexical,,,"Se todas as pessoas se mantivessem virgens até o casamento , ambos não ficariam relembrando os acontecimentos vividos com outras pessoas ."
3680,21,21,nunca,ortografia_lexical,,,O desenvolvimento das tecnologias da informação - principalmente a internet - proporcionaram proporcionou uma proliferação de informações e troca de ideias nunca como nunca visto na história da humanidade .
951,22,22,coloque,ortografia_lexical,,,"Nenhum , desde que não se ultrapasse ultrapassem os limites , que não desrespeite as se desrespeite às leis e que não coloque se coloque a vida de terceiros em risco ."
3735,11,15,poderia-se ter evitado esta tragédia,concordancia_verbal,,,"Se fosse uma família mais presente na vida do rapaz , poderia-se ter evitado esta tragédia ."
205,13,16,faz dessas atividades longas,concordancia_verbal,,,"Grande parte da população não se preocupa com o desperdício de água e faz dessas atividades longas prolonga essas atividades , gastando muito mais do que deveria ."
775,28,29,desta pessoa,ortografia_lexical,,,"Como qualquer outro sentimento , até certo limite , é saudável , mas acima disto torna-se tóxico para quem o sente e para os que estão ao redor desta pessoa ."
258,37,37,Católica,ortografia_acento,,,"Na França revolucionária de 1789 , local onde a famosa frase "" o Estado sou eu "" de Luís XIV surgiu , era absolutista , o rei possuia possuía o poder e , juntamente com a Igreja Católica Católica , alienava a sociedade ."
845,0,1,"Jornais ,",ortografia_lexical,,,"Jornais , Jornais e revistas , por exemplo , fazem uso da norma culta da língua , por exemplo , a fim de que todos os leitores , de qualquer parte do país , possam compreender sem dificuldades a mensagem ."
2566,16,16,à,crase_preposicao,,,Em São Paulo têm tem -se percebido que a reação dos grupos criminosos se deu devido à a excessos cometidos pelos policiais .
3405,47,52,copa das confederações e do mundo,sintatico_discursivo,,,"Atualmente consta-se discute-se muito se o Brasil tem razões para temer um ataque terrorista , pois será realizada no Brasil eventos importantíssimo serão realizados no Brasil eventos importantíssimos , onde o país precisa está estar preparado para uma série de coisas que podem ocorrer , durante a copa das confederações e do mundo Copa das Confederações e do Mundo , além do mais e é necessário exalar preocupações sobre a população ."
3520,1,5,e a determinacao do padrao,sintatico_discursivo,,,Essa e a determinacao do padrao é a determinação do padrão social vigente .
397,9,34,se transmute ? Leis altamente rigorosas resolvem o problema de uma vez por todas ou será que se faz necessária a reeducação de motoristas infratores ?,concordancia_verbal,,,"Então , o que fazer para que tudo isso se transmute ? Leis altamente rigorosas resolvem o problema de uma vez por todas ou será que se faz necessária a reeducação de motoristas infratores ? Estas questões somente terão respostas depois que as leis começarem a vigorar em todo o território nacional e quem sabe , surtirem efeito sobre os infratores ."
3276,32,32,crescem,sintatico_discursivo,,,"Isso é consequência da educação e do tempo que os pais passam em shoppings e em lojas enchendo seus filhos de presentes e mimos na infância , e os quais , quando crescem crescem , viram consumidores compulsivos ."
1365,14,14,repeito,ortografia_lexical,,,"Para que , com isso , possamos criar uma geração baseada em valores de repeito respeito e qualidade de vida ."
1210,40,44,nivel de violencia no transito,sintatico_discursivo,,,"E então entra o governo , ele pode fornecer maiores opções de locomoção , como ônibus e metrôs , algo que seja mais economico econômico que o carro , e nós podemos exigir isto , e tambem podemos reduzir o nivel de violencia no transito nível de violência no trânsito ."
1278,14,14,combinam,ortografia_lexical,,,"A combinação : álcool + direção , como podemos ver nos jornais , não combinam combina de forma alguma ."
2872,1,1,do,ortografia_lexical,,,"Apesar do de o SUS ser um exemplo no mundo , a saúde pública brasileira é bastante frágil ."
3198,2,23,tem tendências viciosas e ainda sendo ilegal muitos as usam em pleno ambiente civil sem nenhuma vergonha do que estão fazendo .,concordancia_verbal,,,A maconha tem tendências viciosas e ainda sendo ilegal muitos as usam em pleno ambiente civil sem nenhuma vergonha do que estão fazendo .
364,6,7,com os,concordancia_nominal,,,"Com os avanços da tecnologia e com os dos estudos na área da saúde , atualmente se encontram disponíveis muitos equipamentos e procedimentos médicos capazes de prolongar a vida humana ."
1672,5,7,e a auto-conscientização,colocacao_pronominal,,,"O maior debate em questão e a auto-conscientização é a autoconscientização , e o erro em pensar que o HIV esta está distante da realidade vivida ."
600,18,18,os,ortografia_lexical,,,"Esse desrespeito é evidênciado evidenciado diariamente quando n ? o se respeitam : o ao atendimento prioritário , os aos assentos exclusivos em ônibus , bancos e metrôs , as às vagas em estabelecimentos públicos e privados , ou simplesmente a ajudar atravessar uma rua , levar uma sacola ou minimizar os impactos do mundo atual como o ficar pelos jovens que contrapõem o namorar pelos os mais velhos , soando como um grande paradoxo ."
1895,12,19,"sem chances de sobrevivência , por esta situação",sintatico_discursivo,,,"A anencefalia é uma doença surgida ainda vida na vida intrauterina , sem chances de sobrevivência , por esta situação destruindo as chances de sobrevivência do bebê ."
493,38,40,que se tornou,colocacao_pronominal,,,"As escolas , portanto , devem ensinar os alunos a respeitar as variações linguísticas , não deixando de ensinar a maneira culta , pois não existe certo e errado em nossa língua , mas sim formas linguísticas diferentes que se tornou que compõem a língua brasileira , que faz parte portuguesa típica do Brasil , parte da nossa cultura e da nossa vida ."
1112,38,40,"benefícios incentivadores ,",sintatico_discursivo,,,"Acredito , que se cada pessoa que fosse a uma escola , prestar-se atenção e revisar-se o que foi dado na aula , este quadro de negatividade mudaria . Atualmente , sabemos que o governo oferece , alguns benefícios incentivadores , para o aluno ."
1752,4,15,a mudança do jeito de pensar das pessoas deve ser mudado sim,concordancia_verbal,,,"Com o avanço tecnológico a mudança do jeito de pensar das pessoas deve ser mudado sim ; porém , nem todos se acostumam com isso , e como conseqüência novos problemas e conflitos surgem como desafios de tantas "" avançadas "" , as quais nem todos se acostumam rápido ."
1596,0,0,Ao,crase_preposicao,,,"Ao Com o passar do tempo tempo , a participação de menores em atos ilícitos vêem vem aumentando dia após dia , por aumentando ."
2353,7,7,irá,ortografia_acento,,,"Sem a certeza de que um dia irá irão se recuperar , a angústia e a tristeza tomam conta dessas pessoas , as deixando deixando-as com mais vontade de que sua vida tenha um fim ."
1327,24,25,autor permitindo,ortografia_lexical,,,"No entanto , essas adaptações não podem descaracterizar as obras a que se referem originais , muito menos ferir o estilo de escrita do autor permitindo autor , de modo a permitir que , aos poucos , o leitor se acostume com tais características ."
448,6,6,saber-se,ortografia_lexical,,,"É importante o horário político para saber-se saber o que os candidatos estão nos propondo , o que irão fazer pelas cidades , municípios , verificar se estão dentro da Lei da Ficha Limpa ."
3408,18,20,para tonar assim,sintatico_discursivo,,,"Vamos formar uma sociedade mais atualizada , com mais respeito , onde homossexuais se sintam bem acolhidos , para tonar assim nos tornarmos , assim , um país de várias famílias ."
1227,9,9,no,sintatico_discursivo,,,"Ora , a própria noção e de civilidade implica no o controle dos impulsos humanos mais primitivos , tais como a vontade de machucar o vizinho porque olhou pra sua mulher , o desejo de pegar para si algum objeto pertencente a outrem e , é claro , a vontade de fazer sexo com alguém , mesmo ( e especialmente ) contra sua vontade ."
1124,13,13,estes,ortografia_lexical,,,"O estatuto do idoso Estatuto do Idoso busca garantir acessibilidade e dignidade para estes , eles mas a população se revolta pelos com os poucos privilégios oferecidos aos idosos , atendimento prioritário , em bancos , hospitais , filas e outros , é muito pouco , eles se esquecem que estão envelhecendo dia-a-dia e que um dia vão achar a aposentadoria insuficiente , as filas desgastantes , o atendimento médico precário e a população alheia a à fragilidade deste deles , esquecem , pois , que o melhor vinho é aquele guardado a há décadas , que pedras valiosas gastam levam centenas de anos para se formarem , que a vasta idade não o julga ultrapassado ultrapassado , e sim experiente de enorme sabedoria ."
3002,18,19,social .,ortografia_lexical,,,"Contudo , a humanidade sempre irá movimentar essa pratica de mentir , seja diante da justiça ou partido social ."
